"","date","type","code","mid"
"160","2012/12/19","index","USDX",79.35
"161","2012/12/20","index","USDX",79.24
"162","2012/12/21","index","USDX",79.58
"163","2012/12/24","index","USDX",79.66
"164","2012/12/25","index","USDX",79.67
"165","2012/12/26","index","USDX",79.6
"166","2012/12/27","index","USDX",79.65
"167","2012/12/28","index","USDX",79.68
"168","2012/12/31","index","USDX",79.76
"169","2013/1/4","index","USDX",80.5
"170","2013/1/7","index","USDX",80.22
"171","2013/1/8","index","USDX",80.34
"172","2013/1/9","index","USDX",80.54
"173","2013/1/10","index","USDX",79.75
"174","2013/1/11","index","USDX",79.55
"175","2013/1/14","index","USDX",79.49
"176","2013/1/15","index","USDX",79.73
"177","2013/1/16","index","USDX",79.79
"178","2013/1/17","index","USDX",79.67
"179","2013/1/18","index","USDX",80.05
"180","2013/1/21","index","USDX",80.04
"181","2013/1/22","index","USDX",79.85
"182","2013/1/23","index","USDX",79.91
"183","2013/1/24","index","USDX",79.97
"184","2013/1/25","index","USDX",79.75
"185","2013/1/28","index","USDX",79.79
"186","2013/1/29","index","USDX",79.53
"187","2013/1/30","index","USDX",79.26
"188","2013/1/31","index","USDX",79.24
"189","2013/2/1","index","USDX",79.21
"190","2013/2/4","index","USDX",79.57
"191","2013/2/5","index","USDX",79.52
"192","2013/2/6","index","USDX",79.76
"193","2013/2/7","index","USDX",80.22
"194","2013/2/8","index","USDX",80.23
"195","2013/2/18","index","USDX",80.65
"196","2013/2/19","index","USDX",80.47
"197","2013/2/20","index","USDX",81.04
"198","2013/2/21","index","USDX",81.37
"199","2013/2/22","index","USDX",81.46
"200","2013/2/25","index","USDX",81.8
"201","2013/2/26","index","USDX",81.84
"202","2013/2/27","index","USDX",81.54
"203","2013/2/28","index","USDX",81.96
"204","2013/3/1","index","USDX",82.27
"205","2013/3/4","index","USDX",82.18
"206","2013/3/5","index","USDX",82.03
"207","2013/3/6","index","USDX",82.57
"208","2013/3/7","index","USDX",82.08
"209","2013/3/8","index","USDX",82.74
"210","2013/3/11","index","USDX",82.57
"211","2013/3/12","index","USDX",82.6
"212","2013/3/13","index","USDX",82.9
"213","2013/3/14","index","USDX",82.58
"214","2013/3/15","index","USDX",82.14
"215","2013/3/18","index","USDX",82.62
"216","2013/3/19","index","USDX",83.03
"217","2013/3/20","index","USDX",82.83
"218","2013/3/21","index","USDX",82.85
"219","2013/3/22","index","USDX",82.37
"220","2013/3/25","index","USDX",82.93
"221","2013/3/26","index","USDX",82.89
"222","2013/3/27","index","USDX",83.21
"223","2013/3/28","index","USDX",83
"224","2013/3/29","index","USDX",82.99
